player,pValue,slope,intercept,r-SquaredValue,stdErr,numDataPoints
Mike James,0.113136242224,0.144533626271,0.306433576375,0.0123177903114,0.0908370647654,205
David West,0.0082449876815,0.254895135727,0.349770222213,0.0153058747426,0.0960581111776,455
Wayne Ellington,0.128312934645,0.141664449191,0.335016629979,0.0128019264029,0.0927233494649,182
Brad Miller,0.910510189595,-0.010736454099,0.45614065432,4.58523921176e-05,0.0954366914182,278
Tim Duncan,0.786797937951,0.029162304755,0.526150707095,0.000175625628435,0.107751104621,419
Tim Thomas,0.454161655109,0.0915458323656,0.347932571811,0.00322385251613,0.122032410315,176
Matt Barnes,0.0858596905669,0.122086195936,0.367721319881,0.00819588207025,0.0708817515382,361
Earl Watson,0.852004010726,0.0136443677399,0.40657590501,0.000106923202702,0.0730777920321,328
Joakim Noah,0.167212271579,-0.159138012885,0.629588006606,0.00924050139841,0.11480919569,208
Rajon Rondo,0.246548505979,-0.110636872639,0.494590856951,0.00456451940843,0.0952873513058,296
Jodie Meeks,0.0550119815342,-0.198146797817,0.52168501474,0.0228182824115,0.102511658052,162
Ryan Gomes,0.507015652137,-0.070709297621,0.453072372985,0.00155708924141,0.106435908714,285
Carlos Delfino,0.807398068799,-0.0191453882036,0.415199179592,0.000193251523426,0.0784666998322,310
Mike Miller,0.892786609835,0.0128016915434,0.474691684031,5.72120836396e-05,0.0949068354073,320
Dahntay Jones,0.760391228867,0.0232491768813,0.425298223635,0.000377229924535,0.0761507362794,249
Gary Neal,0.125188643567,0.176578894435,0.353023381546,0.0151026108962,0.114536107792,157
LaMarcus Aldridge,0.312144538312,0.101254350185,0.439203738051,0.00238124200883,0.100061170807,431
Bobby Simmons,0.139768827943,-0.14730313313,0.509142375575,0.0126337224465,0.0992935962197,174
Rodney Stuckey,0.653950113358,0.0407697807563,0.369616708338,0.000675254004676,0.0908552401455,300
Kyle Lowry,0.843267875911,-0.0146558756967,0.422330598345,0.000129218945288,0.0740626592181,305
Mickael Pietrus,0.810275716264,-0.0204433666647,0.421861375605,0.000203992227539,0.0850762011177,285
Bobby Jackson,0.858808025294,0.0153610449988,0.376872478634,0.000140324433622,0.0862520487343,228
Carlos Boozer,0.45437223428,-0.0782457849694,0.646693470736,0.00148553962096,0.104478116896,379
Jannero Pargo,0.731118740225,0.0247402072309,0.358065295023,0.000478938589034,0.071913581127,249
Beno Udrih,0.705464409345,-0.0314205187531,0.496029883789,0.000387576030651,0.0830687231963,371
Omri Casspi,0.813528837328,0.0249645474066,0.436289194857,0.000353189900095,0.105660900524,160
Thaddeus Young,0.0785561026737,0.154298469734,0.450432312568,0.00879000742192,0.0874573422954,353
Jeff Foster,0.250067735855,0.127967313125,0.396984798358,0.00886895145717,0.110824382163,151
John Wall,0.935438208044,-0.014412214304,0.40892403033,4.21967224915e-05,0.177631461541,158
Marcus Camby,0.930536625682,0.0120527754943,0.465592195094,3.36958287577e-05,0.138113922376,228
Chris Paul,0.766720504155,0.0261273122437,0.453901100846,0.00019448152223,0.0880165267435,455
Ricky Davis,0.495408453685,0.0665597973845,0.361230742988,0.00181027933634,0.097494289601,259
Kevin Love,0.330289172433,0.112204446497,0.403838448409,0.00398262077023,0.115019260277,240
Jose Juan Barea,0.0555237065028,-0.161216748619,0.483600422012,0.0138696732173,0.0838236035369,265
Quinton Ross,0.916405922314,0.01057934765,0.383306559821,7.3689392015e-05,0.100622422906,152
Toney Douglas,0.520739971604,-0.0640009237679,0.437933199015,0.00230784067381,0.0994615206986,181
Jason Kapono,0.758961108888,0.0288768956406,0.463189292781,0.00044090411097,0.0939887297872,216
Ryan Anderson,0.191126152,0.142140067171,0.351984105232,0.00705125288002,0.108427415105,244
Devean George,0.0908135587135,-0.167874993706,0.469966995027,0.0189476998865,0.0986298133797,152
Aaron Brooks,0.554840991905,0.0500870834716,0.368491727933,0.00148595204355,0.0846967031414,237
Lamar Odom,0.738267847028,0.024066765591,0.465015966469,0.000237282897,0.0719817705635,473
Chauncey Billups,0.746901517734,-0.0353175178445,0.447382746996,0.000302285263416,0.109346903113,347
Fred Jones,0.141375017781,0.150589091843,0.381375173656,0.0131416983077,0.101899779243,166
Al Harrington,0.17462093421,-0.112345440371,0.473059916334,0.00427149389721,0.0826223210176,433
George Hill,0.319391768991,0.0873169287052,0.419750593663,0.0037554851661,0.0875278849423,266
DeShawn Stevenson,0.653391127518,-0.0449013904923,0.404402379639,0.000855900900512,0.0998633454771,238
Gerald Green,0.708156592314,0.0461820948656,0.379841203258,0.000906543002138,0.123144957297,157
Kendrick Perkins,0.206629636693,0.150716238232,0.512486376676,0.0106113318425,0.118826398476,152
Mike Conley,0.118635064535,-0.155228238451,0.490727650792,0.0072538141431,0.0992165741492,337
Shane Battier,0.0278076537308,-0.171729687577,0.497350855806,0.0129090853564,0.0777538325597,375
Morris Peterson,0.297345625922,0.117089425308,0.418565374275,0.00674384767235,0.111990579594,163
Tyson Chandler,0.92057328309,-0.0108249394211,0.721472793865,3.98484450048e-05,0.108452889601,252
Carmelo Anthony,0.755343981527,0.0341447155918,0.444138696663,0.000215026605407,0.109511943228,454
Josh Howard,0.223785300645,-0.157440064182,0.498030062633,0.00577553452462,0.129104507786,258
Rafer Alston,0.357837475673,-0.108025619291,0.419747951081,0.00332961722257,0.117270432867,256
Gerald Wallace,0.0193970530528,0.228605231949,0.353307468216,0.0140051256292,0.0973787346576,390
Jerryd Bayless,0.0946824186447,0.154073997458,0.341800952697,0.0133058395379,0.0917754125734,211
Richard Jefferson,0.237896656834,-0.103500473622,0.505444238628,0.00338770339236,0.087565263197,413
Spencer Hawes,0.206251297281,-0.136050888874,0.549383134277,0.00699755737467,0.107333646575,230
Ronny Turiaf,0.896880711427,0.0132841523292,0.567272278381,0.000109419345123,0.102329928242,156
Chuck Hayes,0.963611490131,-0.00434903073801,0.564762902467,1.39220452504e-05,0.0951682983463,152
Pau Gasol,0.294466501341,0.108415296109,0.481301138716,0.00247514214123,0.103290615771,446
Jeff Teague,0.771327368116,-0.0307959023253,0.413691867797,0.000561108935022,0.105769144155,153
Samuel Dalembert,0.0861084562984,-0.170918846802,0.68565998084,0.0106735992541,0.099228850385,277
Kirk Hinrich,0.793909207234,-0.0233351934453,0.411050793464,0.000176100821518,0.089264054354,390
Thabo Sefolosha,0.146063821907,0.153532527726,0.361686933537,0.0111462809431,0.10518904955,191
Joe Johnson,0.36175457493,0.0816857540026,0.399491200597,0.00166054279669,0.0894832070586,503
Evan Turner,0.299925115252,0.118137788424,0.336368319056,0.00628235787792,0.113621611626,173
T.J. Ford,0.084557241128,-0.173631249,0.537299010779,0.0107019802872,0.100304288426,279
Carl Landry,0.120031661537,0.140792154458,0.533065840796,0.00811830571102,0.0903020203313,299
Goran Dragic,0.47195890636,-0.0632597814707,0.463417827098,0.00193227977466,0.0878223979482,270
Kyle Korver,0.986691545927,-0.000974928065767,0.427110178913,5.82695460975e-07,0.0584167888738,480
Darren Collison,0.453776621231,0.0809575342097,0.404394646683,0.00263745445107,0.107870207395,215
Maurice Evans,0.374058766544,0.0658442898819,0.39801454572,0.00281291760902,0.0739562317016,283
Daequan Cook,0.697265978043,0.0300895427611,0.329186493822,0.000750741402603,0.0772381098318,204
Monta Ellis,0.102818991663,0.148175036895,0.381969710686,0.00646200376501,0.0906280780645,413
James Jones,0.857125913036,-0.0141693185733,0.367165200384,0.000136462905482,0.0786182812051,240
Randy Foye,0.896062135046,-0.009697346612,0.393326220649,4.78701588021e-05,0.0741781472243,359
DeMarcus Cousins,0.818192262084,-0.0395703517345,0.516714506291,0.000333321476393,0.171857032401,161
Brandon Bass,0.671843643901,-0.0380513786901,0.527512316528,0.00065832558675,0.0897275284541,275
Rasheed Wallace,0.261023830566,-0.109721159677,0.434188355489,0.00428051072297,0.0974316573977,297
Nick Collison,0.0774607573328,0.128860026615,0.569675693385,0.00989452618076,0.0727439069319,316
Antoine Walker,0.76337092225,-0.0317363820351,0.422748734423,0.000557598085225,0.105240247726,165
Jamaal Tinsley,0.852960789933,-0.0211656270221,0.384336957587,0.000201454843685,0.114025103968,173
Johan Petro,0.239091452781,-0.112593817419,0.560565168212,0.00791086132984,0.0953145015648,177
Juan Dixon,0.8384194584,-0.0219904299657,0.421046963866,0.000246743346829,0.107674795792,171
Jason Thompson,0.0874276560839,-0.204945420268,0.662938838834,0.0127024290279,0.119399119061,231
Wilson Chandler,0.725375539775,0.0483508443119,0.430021349864,0.000521639519661,0.137477410711,239
Andris Biedrins,0.339431736825,-0.120608343275,0.764836649236,0.00592744521016,0.1258613133,156
Caron Butler,0.426610543955,-0.0872851660395,0.478249496055,0.00179139301514,0.109665066561,355
Jeff Green,0.350953466454,-0.095088472779,0.49341296874,0.00278905745268,0.101792402028,314
Tracy McGrady,0.00747972199684,-0.281415855179,0.532524330178,0.0287198177402,0.104342787049,248
Andre Miller,0.302231899606,0.0733393572492,0.40913773879,0.00217637849747,0.0710137336755,491
Al Thornton,0.171738969155,0.142518664722,0.3604640285,0.00879180716571,0.103931496048,214
Roy Hibbert,0.795732988898,-0.0335102816787,0.499286356031,0.000303877704227,0.129290473806,223
Tony Parker,0.753040658847,-0.0321526127729,0.523249253069,0.000242304954234,0.102122361028,411
Nenad Krstic,0.207535821884,0.223970131571,0.341617151588,0.010711837311,0.176924782208,150
Paul Millsap,0.183352287537,0.0987375764457,0.475126351876,0.00435605468196,0.0740840665841,408
LeBron James,0.481038481164,0.0644986127289,0.463559885591,0.000947989337835,0.0914696574978,526
Tyrus Thomas,0.735504320449,-0.0325916674632,0.477740343924,0.000522138816659,0.0963558578365,221
Brook Lopez,0.265529029721,0.149514316938,0.464928171532,0.00499634780704,0.133980917221,250
C.J. Miles,0.606135684913,-0.0451876139569,0.416715046648,0.000989603468163,0.0875382115442,271
Nazr Mohammed,0.69129683238,-0.046047521343,0.549106937929,0.00103346014126,0.115741510992,155
James Harden,0.243735617939,0.109767450621,0.386514049493,0.00547527204589,0.0939404592505,250
Amare Stoudemire,0.922045226676,0.011055198433,0.580894876345,2.84576463662e-05,0.112887517633,339
Luke Ridnour,0.286216618525,0.0781024010423,0.375302240077,0.00280774838259,0.0731386986033,407
Steve Nash,0.77411357224,0.0277275612657,0.491760799432,0.000194474599653,0.0965506203406,426
Richard Hamilton,0.508694560444,0.0760622072143,0.378836000228,0.00132864745816,0.114968109603,331
Damien Wilkins,0.402630793374,0.0662841390368,0.379379221041,0.00257661478977,0.0790751807123,274
Ty Lawson,0.390743040611,0.0831327715755,0.494862987251,0.00346047373495,0.0966633726514,215
Devin Brown,0.455415098319,0.0806493878311,0.352975974492,0.0029828725992,0.107823699604,189
Udonis Haslem,0.455520311919,-0.0687159418318,0.553873469891,0.00184532186489,0.0919637964162,304
Wesley Matthews,0.978809110829,-0.00334583673497,0.457392328774,3.22899289743e-06,0.125819640991,221
Hakim Warrick,0.547890471652,-0.0491235066427,0.549733667434,0.00118520629254,0.0816554074325,307
Sebastian Telfair,0.583138567342,0.0394186736875,0.378143971942,0.000908147530542,0.0717558760855,334
Luke Walton,0.0233797730449,-0.201271063157,0.542381446222,0.0242361968167,0.0881275729466,212
Wally Szczerbiak,0.824974472364,0.0251128794523,0.439914468222,0.000260807630751,0.113396800039,190
Rashad McCants,0.183189727128,0.122157001818,0.358157734602,0.00993088952553,0.0914212266163,180
JaVale McGee,0.623108660892,0.0525194479804,0.556152237879,0.00128728564145,0.106690083467,190
Marko Jaric,0.976958858291,-0.00290915620341,0.350025006079,5.13324603928e-06,0.100571767687,165
Delonte West,0.296585749468,-0.0884982750656,0.49425764357,0.0039610984022,0.0846250218121,277
Russell Westbrook,0.518335374748,0.0715790047876,0.398816660668,0.00131731060227,0.11069441059,319
Yao Ming,0.841889821088,0.0282090172156,0.566804673568,0.000198438424724,0.141232272481,203
Bruce Bowen,0.745546091699,-0.0316432030272,0.417658902838,0.000647859275301,0.0973431887452,165
Troy Murphy,0.724248322258,0.0365481631723,0.416988118439,0.000446788052629,0.103494110776,281
Francisco Garcia,0.556288834138,0.0414179991797,0.383779297096,0.00108288822703,0.0703213235705,322
J.R. Smith,0.927214331616,-0.00567319855544,0.419852136984,1.82001700173e-05,0.0620697457211,461
Shannon Brown,0.631755017949,-0.0380630831384,0.442778931448,0.000874618779068,0.0793280330817,265
Anthony Morrow,0.856493867792,0.0172796335312,0.425856213868,0.000152448481437,0.095437848461,217
Andrea Bargnani,0.300330403974,0.111487163264,0.363537738378,0.00323074227898,0.107473646228,334
Greivis Vasquez,0.797435679369,-0.0296869291064,0.442324719066,0.000431891622524,0.115461811145,155
Mario Chalmers,0.328702081078,-0.0999053695584,0.434849974181,0.00456509187382,0.102046322813,211
Mike Bibby,0.10720497969,0.160563857309,0.274091838832,0.0075698634652,0.0994124297481,344
Grant Hill,0.814525599436,0.0237796203839,0.426354350421,0.000181312132883,0.101278046784,306
C.J. Watson,0.863037542065,-0.0117422749136,0.40741114218,0.000105711070715,0.0680055720097,284
Corey Brewer,0.580188587383,-0.0478591932543,0.431695557457,0.00113033773587,0.0864233359897,273
Arron Afflalo,0.759962087808,-0.0274847492827,0.473997599826,0.000358280348608,0.0898632701009,263
Anthony Carter,0.59111320723,-0.0452668068795,0.383299366264,0.00172154766458,0.0840991376023,170
Andray Blatche,0.865015403258,0.0143339594846,0.480701362624,9.39717943546e-05,0.0842503372205,310
Sasha Vujacic,0.468754521136,0.0499516297443,0.372760683012,0.00185636137778,0.0688528155174,285
Jason Kidd,0.739006212827,0.0284322376598,0.338366116201,0.000276429876941,0.0852796657781,404
Stephen Curry,0.428692907533,-0.100462000314,0.54080653777,0.00286253132396,0.12670161708,221
Raymond Felton,0.535182211838,-0.0541963351784,0.435328787543,0.000780491473674,0.0873359062487,495
Stephen Jackson,0.371861712849,-0.0801078186374,0.415089057207,0.00193130382025,0.0896096533981,415
Eric Gordon,0.498279932994,-0.102716839472,0.518033840543,0.00216595596204,0.151418195024,214
Darrell Arthur,0.000399494202773,-0.37654605877,0.657904456886,0.0789044779624,0.104009713702,155
Rudy Gay,0.0261116394127,-0.215371447932,0.557967553435,0.010948748962,0.0964959353451,452
Ramon Sessions,0.477145127116,0.0612567210387,0.434452908416,0.0016583294896,0.0860613221801,307
Derrick Rose,0.433114201467,0.11954919409,0.429722980043,0.00254109905041,0.152256442401,244
Nene Hilario,0.989777209132,0.00159563714092,0.647934047038,7.61787752273e-07,0.12439132751,218
Brendan Haywood,0.405106179329,-0.0923503092594,0.644149027549,0.00405692939633,0.110651888707,173
Travis Outlaw,0.629636199244,-0.0352211129152,0.44152137001,0.000609392763413,0.0729777347478,384
Marco Belinelli,0.945363129257,0.00759468944737,0.440544590869,2.16923903848e-05,0.110693402426,219
Ron Artest,0.383552671262,0.0998006572214,0.372717933594,0.00247420255558,0.114369087467,309
Josh Childress,0.17423723279,-0.131920594675,0.693963528747,0.00898673432043,0.0967552306413,207
